mid,cpr,name,age,address,phone_number,email
944506,309829-6675,Jean Rohde,94,Kohavevej 16 9381,22562114,jean94@kumail.dk
773892,387509-4389,Jan Nygaard,92,Kapelstien 7 7597,06502414,jan30@kumail.dk
429151,747184-9828,Jack Thomsen,55,Kohave Agre 71 3680,33740093,jack58@kumail.dk
555897,301115-2420,Ewan Thomsen,39,Vestfløjen 53 5472,87309566,ewan75@kumail.dk
337534,464967-2398,Jens Brøgger,55,Valdemar Olsens Vej 88 9001,78316753,jens21@kumail.dk
166441,356552-8986,Jens Warming,90,Kohave Agre 50 3218,53526737,jens60@kumail.dk
744778,179651-5185,Jannie Thomsen,46,Klokkevænget 6 1391,66750629,jannie15@kumail.dk
265444,085749-4452,Johnnie Neiiendam,83,Åtoften 78 1084,11317407,johnnie60@kumail.dk
544340,125694-2350,John Bøttger,38,Max Plancks Have 15 4525,35972964,john83@kumail.dk
445854,386835-0677,Jennie Warming,73,Præstegårdsengen 56 2745,29023790,jennie5@kumail.dk
